build_id,gh_project_name,label,group
243885288,apache/commons-lang,0,apache/commons-lang
243885289,apache/commons-lang,0,apache/commons-lang
243436628,apache/commons-lang,1,apache/commons-lang
243436627,apache/commons-lang,1,apache/commons-lang
243215886,apache/commons-lang,1,apache/commons-lang
243200763,apache/commons-lang,1,apache/commons-lang
243121599,apache/commons-lang,1,apache/commons-lang
243121595,apache/commons-lang,1,apache/commons-lang
242552348,apache/commons-lang,1,apache/commons-lang
242552346,apache/commons-lang,1,apache/commons-lang
242314046,apache/commons-lang,1,apache/commons-lang
242314042,apache/commons-lang,1,apache/commons-lang
241730553,apache/commons-lang,0,apache/commons-lang
241730453,apache/commons-lang,0,apache/commons-lang
241730331,apache/commons-lang,1,apache/commons-lang
241730230,apache/commons-lang,1,apache/commons-lang
241616672,apache/commons-lang,1,apache/commons-lang
241616670,apache/commons-lang,1,apache/commons-lang
241067763,apache/commons-lang,1,apache/commons-lang
241067760,apache/commons-lang,1,apache/commons-lang
240506056,apache/commons-lang,0,apache/commons-lang
240506054,apache/commons-lang,0,apache/commons-lang
240505714,apache/commons-lang,1,apache/commons-lang
240505710,apache/commons-lang,1,apache/commons-lang
240323389,apache/commons-lang,1,apache/commons-lang
240323361,apache/commons-lang,1,apache/commons-lang
239981511,apache/commons-lang,1,apache/commons-lang
239981510,apache/commons-lang,1,apache/commons-lang
239924305,apache/commons-lang,1,apache/commons-lang
239924303,apache/commons-lang,1,apache/commons-lang
239458570,apache/commons-lang,1,apache/commons-lang
239458569,apache/commons-lang,1,apache/commons-lang
238347980,apache/commons-lang,1,apache/commons-lang
238347974,apache/commons-lang,1,apache/commons-lang
237687641,apache/commons-lang,0,apache/commons-lang
237686625,apache/commons-lang,0,apache/commons-lang
237533028,apache/commons-lang,1,apache/commons-lang
237532943,apache/commons-lang,1,apache/commons-lang
237212896,apache/commons-lang,1,apache/commons-lang
236459101,apache/commons-lang,1,apache/commons-lang
236131623,apache/commons-lang,1,apache/commons-lang
236091262,apache/commons-lang,1,apache/commons-lang
236091227,apache/commons-lang,1,apache/commons-lang
235727034,apache/commons-lang,0,apache/commons-lang
235726729,apache/commons-lang,0,apache/commons-lang
235722101,apache/commons-lang,0,apache/commons-lang
235722084,apache/commons-lang,0,apache/commons-lang
235524614,apache/commons-lang,0,apache/commons-lang
235473780,apache/commons-lang,0,apache/commons-lang
235473773,apache/commons-lang,0,apache/commons-lang
235457966,apache/commons-lang,0,apache/commons-lang
235328535,apache/commons-lang,0,apache/commons-lang
235319340,apache/commons-lang,0,apache/commons-lang
235319339,apache/commons-lang,0,apache/commons-lang
235319301,apache/commons-lang,0,apache/commons-lang
235319026,apache/commons-lang,0,apache/commons-lang
235319025,apache/commons-lang,0,apache/commons-lang
235292530,apache/commons-lang,0,apache/commons-lang
235250112,apache/commons-lang,0,apache/commons-lang
234860455,apache/commons-lang,0,apache/commons-lang
234860447,apache/commons-lang,0,apache/commons-lang
234750553,apache/commons-lang,0,apache/commons-lang
234744713,apache/commons-lang,0,apache/commons-lang
234631694,apache/commons-lang,0,apache/commons-lang
234523893,apache/commons-lang,0,apache/commons-lang
234307163,apache/commons-lang,0,apache/commons-lang
234278626,apache/commons-lang,0,apache/commons-lang
234278625,apache/commons-lang,0,apache/commons-lang
234037240,apache/commons-lang,0,apache/commons-lang
233798513,apache/commons-lang,0,apache/commons-lang
233516984,apache/commons-lang,0,apache/commons-lang
233462685,apache/commons-lang,0,apache/commons-lang
233454841,apache/commons-lang,0,apache/commons-lang
233019661,apache/commons-lang,0,apache/commons-lang
232491379,apache/commons-lang,0,apache/commons-lang
232491378,apache/commons-lang,0,apache/commons-lang
232388251,apache/commons-lang,0,apache/commons-lang
232370681,apache/commons-lang,0,apache/commons-lang
232370643,apache/commons-lang,0,apache/commons-lang
232370624,apache/commons-lang,0,apache/commons-lang
232369165,apache/commons-lang,0,apache/commons-lang
232368546,apache/commons-lang,0,apache/commons-lang
232190469,apache/commons-lang,0,apache/commons-lang
231640064,apache/commons-lang,0,apache/commons-lang
231640063,apache/commons-lang,0,apache/commons-lang
231554548,apache/commons-lang,0,apache/commons-lang
231101259,apache/commons-lang,0,apache/commons-lang
231101257,apache/commons-lang,0,apache/commons-lang
230580112,apache/commons-lang,0,apache/commons-lang
230376723,apache/commons-lang,0,apache/commons-lang
230376655,apache/commons-lang,0,apache/commons-lang
230376634,apache/commons-lang,0,apache/commons-lang
230376593,apache/commons-lang,0,apache/commons-lang
230376537,apache/commons-lang,0,apache/commons-lang
230376462,apache/commons-lang,0,apache/commons-lang
230070947,apache/commons-lang,0,apache/commons-lang
230070721,apache/commons-lang,0,apache/commons-lang
230041272,apache/commons-lang,0,apache/commons-lang
229358201,apache/commons-lang,0,apache/commons-lang
228949320,apache/commons-lang,0,apache/commons-lang
228928634,apache/commons-lang,0,apache/commons-lang
228653334,apache/commons-lang,0,apache/commons-lang
228606534,apache/commons-lang,1,apache/commons-lang
228119587,apache/commons-lang,1,apache/commons-lang
226837362,apache/commons-lang,1,apache/commons-lang
226596673,apache/commons-lang,1,apache/commons-lang
226027436,apache/commons-lang,0,apache/commons-lang
226026404,apache/commons-lang,0,apache/commons-lang
226026259,apache/commons-lang,1,apache/commons-lang
226023682,apache/commons-lang,1,apache/commons-lang
225857389,apache/commons-lang,1,apache/commons-lang
225856711,apache/commons-lang,1,apache/commons-lang
225783029,apache/commons-lang,1,apache/commons-lang
225780257,apache/commons-lang,1,apache/commons-lang
225354778,apache/commons-lang,1,apache/commons-lang
224115905,apache/commons-lang,1,apache/commons-lang
224115903,apache/commons-lang,1,apache/commons-lang
223415776,apache/commons-lang,0,apache/commons-lang
223415690,apache/commons-lang,0,apache/commons-lang
223414410,apache/commons-lang,0,apache/commons-lang
223414350,apache/commons-lang,0,apache/commons-lang
223414302,apache/commons-lang,0,apache/commons-lang
223414295,apache/commons-lang,0,apache/commons-lang
223414251,apache/commons-lang,0,apache/commons-lang
223414199,apache/commons-lang,0,apache/commons-lang
223260272,apache/commons-lang,0,apache/commons-lang
223260213,apache/commons-lang,0,apache/commons-lang
223258314,apache/commons-lang,0,apache/commons-lang
223258310,apache/commons-lang,1,apache/commons-lang
223003248,apache/commons-lang,1,apache/commons-lang
221443502,apache/commons-lang,0,apache/commons-lang
221442792,apache/commons-lang,0,apache/commons-lang
221442587,apache/commons-lang,0,apache/commons-lang
221442467,apache/commons-lang,0,apache/commons-lang
221441505,apache/commons-lang,1,apache/commons-lang
221433976,apache/commons-lang,1,apache/commons-lang
219146327,apache/commons-lang,1,apache/commons-lang
219001290,apache/commons-lang,1,apache/commons-lang
218941868,apache/commons-lang,0,apache/commons-lang
218941834,apache/commons-lang,1,apache/commons-lang
218934098,apache/commons-lang,1,apache/commons-lang
218738273,apache/commons-lang,1,apache/commons-lang
218627763,apache/commons-lang,1,apache/commons-lang
218394037,apache/commons-lang,1,apache/commons-lang
218063363,apache/commons-lang,1,apache/commons-lang
218063278,apache/commons-lang,1,apache/commons-lang
217751789,apache/commons-lang,1,apache/commons-lang
217751562,apache/commons-lang,1,apache/commons-lang
217731263,apache/commons-lang,0,apache/commons-lang
217731229,apache/commons-lang,0,apache/commons-lang
217731204,apache/commons-lang,0,apache/commons-lang
217731145,apache/commons-lang,0,apache/commons-lang
217731072,apache/commons-lang,0,apache/commons-lang
217730981,apache/commons-lang,0,apache/commons-lang
217730915,apache/commons-lang,0,apache/commons-lang
217714282,apache/commons-lang,1,apache/commons-lang
217708865,apache/commons-lang,1,apache/commons-lang
217626223,apache/commons-lang,1,apache/commons-lang
217062470,apache/commons-lang,1,apache/commons-lang
216718982,apache/commons-lang,1,apache/commons-lang
216336284,apache/commons-lang,1,apache/commons-lang
256561523,apache/commons-math,1,apache/commons-math
256460999,apache/commons-math,1,apache/commons-math
254618499,apache/commons-math,1,apache/commons-math
253699473,apache/commons-math,1,apache/commons-math
253585487,apache/commons-math,1,apache/commons-math
